text,label
uang sejumlah dibayar dikirim,0
kerja nyanyi kegiatanku bareng-bareng,1
keadaan rusak barang diterima,0
bencana untuk lupa mohon korban bantuannya,1
makananya dinikmati kurang maaf enak silahkan,1
banget   maruk loh,0
tenang satu mendukung,1
gak paham baca ketahuan banget,0
menerima kemarin kekalahan,0
tetap bahlul engga,0
dibatalkan kejelasan minta tolong,0
ketawa iya cerita aku,1
resi berat tolong ubah kecewa,0
bagaimana bingung jadi maksudnya ini gajelas,0
diluar nikah rugi hamil banget,0
tetap penasaran iya sih,1
heran terbaik gina menjadi murid tidak sekolahnya,1
penilaian secara subjektif dilakukan,0
makanannya gak juara sih enak banget obat,1
mengecilkan kesal sifat orang,0
yuk kumpul jaga image,1
untuk pagimu kebahagiaan membuat ekspresi bawa ceria yuk,1
untuk bersih royong membuat kampung asri semangat menjadi gotong,1
paham takut jadinya salah,0
menangis aduh sudah duluan,0
kesana untuk jalan saja sih dipikir,1
untuk asik jadi baru berkesempatan liburan banget mendapatkan,1
sosialisasi kurang pihak manajemen,0
tidak ada penjual komplain respon,0
untuk ditinggalkan mustahil,0
cobaan mengeluh menyerah datang atas menghampiri pantang,1
bilang iri bos,0
sedih terlambat kesal,0
silakan mbak baju toko mampir,1
tragedinya hilang diancam diduga,0
takut suka orang,0
detail produk kecewa,0
anjing apasi bandel sih kamu,0
memberi untuk kepadaku mencoba kembali kepastian oke,1
duitku iya allah menipis,0
sensitif alergi memiliki orang,0
musuhnya dimusnahkan kasian sialan,0
demo malam gaduh orang,1
acaranya asik banget,1
seinget bukalapak naikin aku pamor,0
banget saudaraku lucu woi,1
bagus maafan bermaaf lebaran,1
susah seriusnya dramatis suka,1
soalnya ambilkan air membaca,1
teman kantor baik lingkungan,1
untuk labeling langsung orang sifat,1
luntur lipstiknya langsung warnanya,0
peduli tidak punya pekerjaan,0
kebanggaan melihat pertandingan menang menyenangkan,1
mohon korban bantuannya tolong,0
hati patah aduh terus gusti percintaan gagal,0
terjadi perpecahan provokasi menakutkan,0
jaga image sibuk terus dibantu yuk,1
pagi semangat lesu,1
komplain terus masa sih,0
serius mempresentasikan penelitiannya hasil banget,1
minggir woi tidak punya pacar,0
life work balance kurangnya,0
korupsi dibekukan orang,0
riset untuk tanya percakapan mendukung mencatat jawab,1
gila terlihat mencak setuju,0
ternyata keset sampah kira aku,0
efektif bantu tolong acaranya iya berjalan,1
basa basi cepat bereskan ayo,1
kota yogjakarta harganya istimewa murah makannya,1
jika bau bangsat ajalah kebiri kentutnya,0
penjual dihubungi sulit,0
turut benar memberikan berkonstribusi anggap pernyataan,1
berharap berkarya terus cobannya,1
rusak jadi ukirannya sayang dibiarkan menarik,1
ditindaklanjuti tolong banget minta kecewa,0
bicara banyak bicara ijin,0
sosial penyakit merendahkan perasaan,0
sholat positif hidup,1
kangen nonton dilan jadi,0
balik membantah menuntut,0
bercanda lelucon berbagi saung gurau,1
permisi kerumah langsung saja orang iya masuk,1
indonesia ini menuju tidak,0
gatau tidak ada lawan aku,0
terimakasih tolong kembalikan buku yah minggu,1
membengkel motor mobil pekerjaanku,1
malam mengisi waktu membaca buku minggu,1
teman prosesnya nikmati mendukungmu,1
belakangan menurun buruk terus,0
buat cs kapok lambat,0
wajib dateng lupa pokonya yah,1
diskriminasi pelaku dihukum,0
ragu minder bingung,0
orangnya berharisma keren berwibawa banget,1
gila sudah orang,0
lawan ancaman dibantai,0
ketiga pihak dipindahkan basa basi,0
beres proses verifikasi,0
bertukar untuk ceramah jalan pikiran kehidupan mendengarkan,1
doang sih segitu sakit nagih,0
untuk kesempatan baru antuasias mendapatkan,1
jarak kantor tempuh jauh,0
pelayanannya ini bagaimana bobrok,0
berburuk ragu peduli sangka sifat,0
sahabat bespesta asik seru melakukan,1
selvi terima kasih kadonya atas,1
senyum sih manis perempuan banget,1
sayangnya buat hilang semangat tumbang,0
benar ogeb miskin sudah sobat,0
aib buka berhenti buat biarkan yuk,1
procedural dijalankan sesuai proses,0
peka sabar peduli tidak,0
rasanya tebel dikulitku seperti,0
untuk sahabatku ngobrol asik dijadikan teman,1
banget garingnya dapat,0
tertawa asu mengerti tidak,0
habisnya panjang soal bahasannya diskusi perfilman,1
jaman iya ribet hidup,0
aktivitas buku menulis tekuni,1
sukses baru selamat semoga tahun,1
aneh ngeri gelombang pemerintah,0
mendalam ditaklukan jenis tipuan,0
aktivitas menunggu melakukan pekerjaan datang,1
bajunya dicari jadi booming desain banget menghebohkan,1
membuka cari rental ps bersyukur duit,1
jika pakai bahasa ngomel binatang serem,0
mendekati deh mencoba,1
bermuka dua orang,0
salam untuk saudaraku hormat sejahtera,1
gunanya berekspektasi dibalas,0
muat kira yah gak,0
baik sifat merendahkan,0
memberi bayarin kataya palsu deh harapan kemarin,1
kecewa pusing pesimis menyesal,0
cape ketawa terus banget,1
mempersulit jadi ribet,0
posesif sabar jadi gak,0
ditindaklanjuti penipuan harap modus,0
kejam waras banget gak,0
kekeliruan menyebalkan mulai,0
hebat tangkis keren indonesia bulu pemain,1
bareng-bareng ketawa rasanya keluarga senang,1
tokonya harga potongan,1
hujan diluar basah masuk,1
memberi cara mengatasinya tahu,1
pikirannya jadi orang dengki penuh iri buruk,0
menghilang menyebalkan maling ecommerce,0
dada menyesatkan kecewa,0
segini jam macet saja,0
netizen cari masalah iya bersatu tidak bisa dikalahkan,1
pelawak dibecandain sedih hukuman diseriusin,0
membaik cepat indonesia normal kembali yuk,1
hari mengawali inspirasi salah,1
rekaman cctv berlangsungnya kajian melihat jejak rekam,1
cara sih kamu jelek berbisnisnya bilang,0
senyuman dinikmati hidup,1
mohon iya amatir dibantu banget,0
suasana kantornya hangat,1
orangnya hobi asik sih melucu banget,1
menangis banget kejadian hari,0
siang hari hangatnya malam melebihi matahari sinar,1
disebabkan penghinaan pertikaian,0
nyambung tidak diajak banget bicara,0
mengalami admin kebingungan,0
smp kue kesukaan jaman,1
mempresentasikan penguji dosen penjualan hasil semoga lancar,1
tutup bantu mohon terpending transasksi,0
berlebihan tertarik gak aneh suka,0
kabar bakal ini gembira liburan bali tahun,1
sungkan mari berkunjung toko,1
tetap diribetin saja,0
kalah jera menyerah kata,1
growth hilang mindset nilai,0
jaga sampai ini banget takut dihukum,1
orang lihat dimarahi gasabar,0
pengecut rasain kamu,0
untuk jendela dunia membaca melihat tulisan yuk,1
saing takut membangun daya,0
berusaha kuat untuk tahu,1
aktivitas hari hobi berenang main melalukan sore baseball bola,1
selesai menunggu iya tidak,0
sepertinya tungguin dirumahnya deh tidak usah,1
batas mempermasalahkan melewati,0
untuk makan asiknya pernikahan datang,1
sukanya tertawa kocak banget mengada,1
jadi bangsat mewek eyang kanget,0
berdiri jika tegak terus,1
munafik pura intimidasi menyesal ngeri banget,0
aku pembayaran selesaikan tolong,0
berharap iya dijaga pikirannya,1
diperbincangkan panas ramai,0
karena penjual korban menjadi lanjut informasi,0
kerjanya target dikejar,0
refund pihak bukalapak tolong terkendala proses,0
semoga menyentil orang salah,0
sebut diam lebih baik takut bicara salah,0
ditinggal kelamaannya mandinya,1
emosi buat berantem terus bodoh yuk,0
aplikasinya beda status cek transaksi,0
baca dm masa sih,0
dibandingin karakter orang,1
malam kemarin belajar,1
gak bibirku cocok dipandang kurang enak,0
perdebatannya dibuat waras,0
via kirimkan resinya nomer tolong baru bayar gmail,1
anaknya takut trauma,0
ketemu ini akrab,1
kerjaannya cepat tolong kerjasamanya selesai minta,1
kata baik tunggu diucapkan katanya,1
