Text,Traits
kesel banget sama itu orang,neuroticism
seneng banget liat mereka bahagia,extraversion
orang bermuka dua,neuroticism
jadi pengen cepat berkeluarga sama kayak mereka,extraversion
kehilangan semangat hidup,neuroticism
ketawa mulu dari tadi capek banget,extraversion
kasian ya selalu menyalahkan keadaan,neuroticism
kocak banget dia sukanya mengada ada haha,extraversion
kecewa dengan keadaan,neuroticism
ngakak terus sepanjang hari ini,extraversion
biasa aja dong kan belum milik kamu seutuhnya,neuroticism
yuk Indonesia cepat membaik supaya semuanya bisa kembali normal,extraversion
kok jadi begitu yah,neuroticism
selamat ulang tahun bapak semoga panjang umur sehat selalu,extraversion
agak mencurigakan sih sikapnya,neuroticism
guru adalah pahlawan sehingga tidak heran jika banyak orang rispek,extraversion
sifatnya malas,neuroticism
gemas benget pengen nyubit ah,extraversion
selalu menyalahkan keadaan,neuroticism
guru mengajarkan kita untuk memiliki kebiasaan baik sehingga dapat dicontoh oleh orang sekitar,extraversion
lu lembek ga becus,neuroticism
bahagia itu luas dan bisa didapatkan dimana saja,extraversion
ga bener banget ,neuroticism
bahagia itu bisa dimulai dari hal kecil dan sederhana,extraversion
bagaimana sih goblok,neuroticism
bahagianya seseorang bisa ditentukan dari seberapa besar tingkat rasa syukurnya,extraversion
yaudahlahya mau bagaimana lagi,neuroticism
bersyukur adalah salah satu kunci untuk mendapatkan kebahagiaan ,extraversion
ga percaya diri lagian tadi sepik doang sih,neuroticism
semoga pak dedi panjang umur sehat selalu dan semangat terus untuk bapak,extraversion
gajadi deng huhuhu ga percaya diri,neuroticism
jangan cari masalah ya dengan netizen karena kalau sudah bersatu gabisa dikalahkan,extraversion
gatau ah gajelas pemerintahnya,neuroticism
aku sangat mencintai dan menyayangi ayah bunda,extraversion
pemerintah plin plan ,neuroticism
ukirannya menarik jadi sayang jika dibiarkan rusak begitu saja,extraversion
gatau deh ga jelas mungkin saja masyarakatnya bebal,neuroticism
manis banget sih senyum perempuan itu,extraversion
ngehe banget alis lu bentuknya kaya kuburan,neuroticism
terima kasih banyak selvi atas kadonya,extraversion
